날짜,종가,Return
2025-04-30,55500,
2025-05-02,54300,-0.021621621621621623
2025-05-07,54600,0.005524861878453136
2025-05-08,54600,0.0
2025-05-09,54800,0.00366300366300365
2025-05-12,57600,0.051094890510948954
2025-05-13,56900,-0.01215277777777779
2025-05-14,57400,0.008787346221441172
2025-05-15,57300,-0.0017421602787456303
2025-05-16,56800,-0.008726003490401424
2025-05-19,55800,-0.017605633802816878
2025-05-20,55900,0.0017921146953405742
2025-05-21,55700,-0.003577817531305927
2025-05-22,54700,-0.01795332136445238
2025-05-23,54200,-0.009140767824497242
2025-05-26,54700,0.009225092250922495
2025-05-27,53900,-0.014625228519195566
2025-05-28,55900,0.03710575139146566
2025-05-29,56100,0.003577817531305927
2025-05-30,56200,0.0017825311942958333
2025-06-02,56800,0.01067615658362997
2025-06-04,57800,0.01760563380281699
2025-06-05,59100,0.02249134948096887
2025-06-09,59800,0.011844331641285955
2025-06-10,59200,-0.010033444816053505
2025-06-11,59900,0.011824324324324342
2025-06-12,59500,-0.006677796327211993
2025-06-13,58300,-0.020168067226890796
2025-06-16,57200,-0.018867924528301883
2025-06-17,58100,0.01573426573426584
2025-06-18,59800,0.029259896729776358
2025-06-19,59200,-0.010033444816053505
2025-06-20,59500,0.0050675675675675436
