date	title	content	url
2025.06.29	SBS 8시 뉴스에서...	한한령 해제 쉽지 않을거라 하네요..빠지는 이유가 있었네요..	https://finance.naver.com/item/board_read.naver?code=090430&nid=305327970&st=&sw=&page=2
2025.06.29	SBS 8시 뉴스에서...	그러니까 지금이 기회라고요~주린이 아니고서야 뉴스를 곧이 곧대로 믿고주식을 어케합니까!!!	https://finance.naver.com/item/board_read.naver?code=090430&nid=305328187&st=&sw=&page=2
2025.06.29	와따 장기투자 행님들	사리 나오겋네	https://finance.naver.com/item/board_read.naver?code=090430&nid=305325446&st=&sw=&page=2
2025.06.29	근데 순수하게 기술적분석으로만 보면 떡락각은 맞음	차트나 보조지표 이런건 그렇다는거임그런데 꼭 주가가 거기에 따라가는건 아니니깐	https://finance.naver.com/item/board_read.naver?code=090430&nid=305323715&st=&sw=&page=2
2025.06.29	  ㅎ ㅎ ㅎ	월요일 폭락각코피 최소 2퍼 하락	https://finance.naver.com/item/board_read.naver?code=090430&nid=305323576&st=&sw=&page=2
2025.06.29	ㅋㅋㅋㅋ친구없나보네 하루종일	종토방 들락날락거리나보네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ한편으로는 안타깝기도하다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	https://finance.naver.com/item/board_read.naver?code=090430&nid=305323471&st=&sw=&page=2
2025.06.29	Korexx 자중 좀 하쇼	당신이 뭔 뜻으로자꾸 이런 말들을 반복적으로 지껄이는지는 몰겠지만각자 알아서 판단해서 투자하는 것이고, 여기 투자자들이 당신보다 모자란 사람들만 있는것도 아니니 적당히좀 하쇼,당신이 상승이던 하락을 맞춘다고 해서 대단한 사람이 되는 것도 아니고, 감사인사 받을 일도 없으니 그만하시고여러사람들 자유롭게 소통하는 이곳에서 혼자 계속 영양가 없는 소리로 도배하는게 너무 공해같아서 보기 짜증남.당신 혼자 사용하는 곳 아니니 제발 자중하쇼!!!	https://finance.naver.com/item/board_read.naver?code=090430&nid=305321730&st=&sw=&page=2
2025.06.29	Korexx 자중 좀 하쇼	공매 알바같아요..	https://finance.naver.com/item/board_read.naver?code=090430&nid=305324702&st=&sw=&page=2
2025.06.29	우리 할방씨들	월요일부터 폭락각	https://finance.naver.com/item/board_read.naver?code=090430&nid=305320898&st=&sw=&page=2
2025.06.29	우리 할방씨들 재명씨 물방구 들어 갑니다	잘 터트리세요	https://finance.naver.com/item/board_read.naver?code=090430&nid=305318122&st=&sw=&page=2
2025.06.29	ㅇ	화장품 뉴스보니 짝퉁천지네앞으로는 아모레몰이나 백화점아닌곳은거른다	https://finance.naver.com/item/board_read.naver?code=090430&nid=305315545&st=&sw=&page=2
2025.06.29	아모레퍼시픽 , 기관 외인 이탈과 실적	https://blog.naver.com/zhfps117/223907285983일부 매물 실현인듯? 실적은 탄탄하네	https://finance.naver.com/item/board_read.naver?code=090430&nid=305315544&st=&sw=&page=2
2025.06.29	코스맥스 보다 이 놈보니	예전 퍼 30씩 갈때 코맥 십만대였는데지금은 코맥이 두배네아모레란 이름도 이젠 좀 구리다코맥 너무 가서 차선책으로 이놈 조금 가려나싶어 들어갔다가 바로 물리네	https://finance.naver.com/item/board_read.naver?code=090430&nid=305315433&st=&sw=&page=2
2025.06.29	물린 할방씨들 이재명 방구맛 한번봐	여러가지한다 ㅋㅋㅋㅋㅋ	https://finance.naver.com/item/board_read.naver?code=090430&nid=305318099&st=&sw=&page=2
